1 [intro.scope]
            19.11.3.6 [util.smartptr.shared.create]
            19.11.3.7 [util.smartptr.shared.cmp]
            19.11.3.8 [util.smartptr.shared.spec]
            19.11.3.9 [util.smartptr.shared.cast]
            19.11.3.10 [util.smartptr.getdeleter]
            19.11.3.11 [util.smartptr.shared.io]
        19.11.4 [util.smartptr.weak]
            19.11.4.1 [util.smartptr.weak.const]
            19.11.4.2 [util.smartptr.weak.dest]
            19.11.4.3 [util.smartptr.weak.assign]
            19.11.4.4 [util.smartptr.weak.mod]
            19.11.4.5 [util.smartptr.weak.obs]
            19.11.4.6 [util.smartptr.weak.spec]
        19.11.5 [util.smartptr.ownerless]
        19.11.6 [util.smartptr.enab]
        19.11.7 [util.smartptr.hash]
        19.11.8 [util.smartptr.atomic]
            19.11.8.1 [util.smartptr.atomic.shared]
            19.11.8.2 [util.smartptr.atomic.weak]
    19.12 [mem.res]
        19.12.1 [mem.res.syn]
        19.12.2 [mem.res.class]
            19.12.2.1 [mem.res.public]
            19.12.2.2 [mem.res.private]
            19.12.2.3 [mem.res.eq]
        19.12.3 [mem.poly.allocator.class]
            19.12.3.1 [mem.poly.allocator.ctor]
            19.12.3.2 [mem.poly.allocator.mem]
            19.12.3.3 [mem.poly.allocator.eq]
        19.12.4 [mem.res.global]
        19.12.5 [mem.res.pool]
            19.12.5.1 [mem.res.pool.overview]
            19.12.5.2 [mem.res.pool.options]
            19.12.5.3 [mem.res.pool.ctor]
            19.12.5.4 [mem.res.pool.mem]
        19.12.6 [mem.res.monotonic.buffer]
            19.12.6.1 [mem.res.monotonic.buffer.ctor]
            19.12.6.2 [mem.res.monotonic.buffer.mem]
    19.13 [allocator.adaptor]
        19.13.1 [allocator.adaptor.syn]
        19.13.2 [allocator.adaptor.types]
        19.13.3 [allocator.adaptor.cnstr]
        19.13.4 [allocator.adaptor.members]
        19.13.5 [scoped.adaptor.operators]
    19.14 [function.objects]
        19.14.1 [functional.syn]
        19.14.2 [func.def]
        19.14.3 [func.require]
        19.14.4 [func.invoke]
        19.14.5 [refwrap]
            19.14.5.1 [refwrap.const]
            19.14.5.2 [refwrap.assign]
            19.14.5.3 [refwrap.access]
            19.14.5.4 [refwrap.invoke]
            19.14.5.5 [refwrap.helpers]
            19.14.5.6 [refwrap.unwrapref]
        19.14.6 [arithmetic.operations]
            19.14.6.1 [arithmetic.operations.plus]
            19.14.6.2 [arithmetic.operations.minus]
            19.14.6.3 [arithmetic.operations.multiplies]
            19.14.6.4 [arithmetic.operations.divides]
            19.14.6.5 [arithmetic.operations.modulus]
            19.14.6.6 [arithmetic.operations.negate]
        19.14.7 [comparisons]
            19.14.7.1 [comparisons.equal_to]
            19.14.7.2 [comparisons.not_equal_to]
            19.14.7.3 [comparisons.greater]
            19.14.7.4 [comparisons.less]
            19.14.7.5 [comparisons.greater_equal]
            19.14.7.6 [comparisons.less_equal]
        19.14.8 [range.cmp]
        19.14.9 [logical.operations]
            19.14.9.1 [logical.operations.and]
            19.14.9.2 [logical.operations.or]
            19.14.9.3 [logical.operations.not]
        19.14.10 [bitwise.operations]
            19.14.10.1 [bitwise.operations.and]
            19.14.10.2 [bitwise.operations.or]
            19.14.10.3 [bitwise.operations.xor]
            19.14.10.4 [bitwise.operations.not]
        19.14.11 [func.identity]
        19.14.12 [func.not_fn]
        19.14.13 [func.bind_front]
        19.14.14 [func.bind]
            19.14.14.1 [func.bind.isbind]
            19.14.14.2 [func.bind.isplace]
            19.14.14.3 [func.bind.bind]
            19.14.14.4 [func.bind.place]
        19.14.15 [func.memfn]
        19.14.16 [func.wrap]
            19.14.16.1 [func.wrap.badcall]
                19.14.16.1.1 [func.wrap.badcall.const]
            19.14.16.2 [func.wrap.func]
                19.14.16.2.1 [func.wrap.func.con]
                19.14.16.2.2 [func.wrap.func.mod]
                19.14.16.2.3 [func.wrap.func.cap]
                19.14.16.2.4 [func.wrap.func.inv]
                19.14.16.2.5 [func.wrap.func.targ]
                19.14.16.2.6 [func.wrap.func.nullptr]
                19.14.16.2.7 [func.wrap.func.alg]
        19.14.17 [func.search]
            19.14.17.1 [func.search.default]
            19.14.17.2 [func.search.bm]
            19.14.17.3 [func.search.bmh]
        19.14.18 [unord.hash]
    19.15 [meta]
        19.15.1 [meta.rqmts]
        19.15.2 [meta.type.synop]
        19.15.3 [meta.help]
        19.15.4 [meta.unary]
            19.15.4.1 [meta.unary.cat]
            19.15.4.2 [meta.unary.comp]
            19.15.4.3 [meta.unary.prop]
        19.15.5 [meta.unary.prop.query]
        19.15.6 [meta.rel]
        19.15.7 [meta.trans]
            19.15.7.1 [meta.trans.cv]
            19.15.7.2 [meta.trans.ref]
            19.15.7.3 [meta.trans.sign]
            19.15.7.4 [meta.trans.arr]
            19.15.7.5 [meta.trans.ptr]
            19.15.7.6 [meta.trans.other]
        19.15.8 [meta.logical]
        19.15.9 [meta.endian]
        19.15.10 [meta.const.eval]
    19.16 [ratio]
        19.16.1 [ratio.general]
        19.16.2 [ratio.syn]
        19.16.3 [ratio.ratio]
        19.16.4 [ratio.arithmetic]
        19.16.5 [ratio.comparison]
        19.16.6 [ratio.si]
    19.17 [type.index]
        19.17.1 [type.index.synopsis]
        19.17.2 [type.index.overview]
        19.17.3 [type.index.members]
        19.17.4 [type.index.hash]
    19.18 [execpol]
        19.18.1 [execpol.general]
        19.18.2 [execution.syn]
        19.18.3 [execpol.type]
        19.18.4 [execpol.seq]
        19.18.5 [execpol.par]
        19.18.6 [execpol.parunseq]
        19.18.7 [execpol.objects]
    19.19 [charconv]
        19.19.1 [charconv.syn]
        19.19.2 [charconv.to.chars]
        19.19.3 [charconv.from.chars]
20 [strings]
    20.1 [strings.general]
    20.2 [char.traits]
        20.2.1 [char.traits.require]
        20.2.2 [char.traits.typedefs]
        20.2.3 [char.traits.specializations]
            20.2.3.1 [char.traits.specializations.char]
            20.2.3.2 [char.traits.specializations.char8_t]
            20.2.3.3 [char.traits.specializations.char16_t]
            20.2.3.4 [char.traits.specializations.char32_t]
            20.2.3.5 [char.traits.specializations.wchar.t]
    20.3 [string.classes]
        20.3.1 [string.syn]
        20.3.2 [basic.string]
            20.3.2.1 [string.require]
            20.3.2.2 [string.cons]
            20.3.2.3 [string.iterators]
            20.3.2.4 [string.capacity]
            20.3.2.5 [string.access]
            20.3.2.6 [string.modifiers]
                20.3.2.6.1 [string.op.append]
                20.3.2.6.2 [string.append]
                20.3.2.6.3 [string.assign]
                20.3.2.6.4 [string.insert]
                20.3.2.6.5 [string.erase]
                20.3.2.6.6 [string.replace]
                20.3.2.6.7 [string.copy]
                20.3.2.6.8 [string.swap]
            20.3.2.7 [string.ops]
                20.3.2.7.1 [string.accessors]
                20.3.2.7.2 [string.find]
                20.3.2.7.3 [string.substr]
                20.3.2.7.4 [string.compare]
                20.3.2.7.5 [string.starts.with]
                20.3.2.7.6 [string.ends.with]
        20.3.3 [string.nonmembers]
            20.3.3.1 [string.op.plus]
            20.3.3.2 [string.cmp]
            20.3.3.3 [string.special]
            20.3.3.4 [string.io]
            20.3.3.5 [string.erasure]
        20.3.4 [string.conversions]
        20.3.5 [basic.string.hash]
        20.3.6 [basic.string.literals]
    20.4 [string.view]
        20.4.1 [string.view.synop]
        20.4.2 [string.view.template]
            20.4.2.1 [string.view.cons]
            20.4.2.2 [string.view.iterators]
            20.4.2.3 [string.view.capacity]
            20.4.2.4 [string.view.access]
            20.4.2.5 [string.view.modifiers]
            20.4.2.6 [string.view.ops]
            20.4.2.7 [string.view.find]
        20.4.3 [string.view.comparison]
        20.4.4 [string.view.io]
        20.4.5 [string.view.hash]
        20.4.6 [string.view.literals]
    20.5 [c.strings]
        20.5.1 [cctype.syn]
        20.5.2 [cwctype.syn]
        20.5.3 [cstring.syn]
        20.5.4 [cwchar.syn]
        20.5.5 [cuchar.syn]
        20.5.6 [c.mb.wcs]
21 [containers]
    21.1 [containers.general]
    21.2 [container.requirements]
        21.2.1 [container.requirements.general]
        21.2.2 [container.requirements.dataraces]
        21.2.3 [sequence.reqmts]
        21.2.4 [container.node]
            21.2.4.1 [container.node.overview]
            21.2.4.2 [container.node.cons]
            21.2.4.3 [container.node.dtor]
            21.2.4.4 [container.node.observers]
            21.2.4.5 [container.node.modifiers]
        21.2.5 [container.insert.return]
        21.2.6 [associative.reqmts]
            21.2.6.1 [associative.reqmts.except]
        21.2.7 [unord.req]
            21.2.7.1 [unord.req.except]
    21.3 [sequences]
        21.3.1 [sequences.general]
        21.3.2 [array.syn]
        21.3.3 [deque.syn]
        21.3.4 [forward_list.syn]
        21.3.5 [list.syn]
        21.3.6 [vector.syn]
        21.3.7 [array]
            21.3.7.1 [array.overview]
            21.3.7.2 [array.cons]
            21.3.7.3 [array.members]
            21.3.7.4 [array.special]
            21.3.7.5 [array.zero]
            21.3.7.6 [array.tuple]
        21.3.8 [deque]
            21.3.8.1 [deque.overview]
            21.3.8.2 [deque.cons]
            21.3.8.3 [deque.capacity]
            21.3.8.4 [deque.modifiers]
            21.3.8.5 [deque.erasure]
        21.3.9 [forwardlist]
            21.3.9.1 [forwardlist.overview]
            21.3.9.2 [forwardlist.cons]
            21.3.9.3 [forwardlist.iter]
            21.3.9.4 [forwardlist.access]
            21.3.9.5 [forwardlist.modifiers]
            21.3.9.6 [forwardlist.ops]
            21.3.9.7 [forward_list.erasure]
        21.3.10 [list]
            21.3.10.1 [list.overview]
            21.3.10.2 [list.cons]
            21.3.10.3 [list.capacity]
            21.3.10.4 [list.modifiers]
            21.3.10.5 [list.ops]
            21.3.10.6 [list.erasure]
        21.3.11 [vector]
            21.3.11.1 [vector.overview]
            21.3.11.2 [vector.cons]
            21.3.11.3 [vector.capacity]
            21.3.11.4 [vector.data]
            21.3.11.5 [vector.modifiers]
            21.3.11.6 [vector.erasure]
        21.3.12 [vector.bool]
    21.4 [associative]
        21.4.1 [associative.general]
        21.4.2 [associative.map.syn]
        21.4.3 [associative.set.syn]
        21.4.4 [map]
            21.4.4.1 [map.overview]
            21.4.4.2 [map.cons]
            21.4.4.3 [map.access]
            21.4.4.4 [map.modifiers]
            21.4.4.5 [map.erasure]
        21.4.5 [multimap]
            21.4.5.1 [multimap.overview]
            21.4.5.2 [multimap.cons]
            21.4.5.3 [multimap.modifiers]
            21.4.5.4 [multimap.erasure]
        21.4.6 [set]
            21.4.6.1 [set.overview]
            21.4.6.2 [set.cons]
            21.4.6.3 [set.erasure]
        21.4.7 [multiset]
            21.4.7.1 [multiset.overview]
            21.4.7.2 [multiset.cons]
            21.4.7.3 [multiset.erasure]
    21.5 [unord]
        21.5.1 [unord.general]
        21.5.2 [unord.map.syn]
        21.5.3 [unord.set.syn]
        21.5.4 [unord.map]
            21.5.4.1 [unord.map.overview]
            21.5.4.2 [unord.map.cnstr]
            21.5.4.3 [unord.map.elem]
            21.5.4.4 [unord.map.modifiers]
            21.5.4.5 [unord.map.erasure]
        21.5.5 [unord.multimap]
            21.5.5.1 [unord.multimap.overview]
            21.5.5.2 [unord.multimap.cnstr]
            21.5.5.3 [unord.multimap.modifiers]
            21.5.5.4 [unord.multimap.erasure]
        21.5.6 [unord.set]
            21.5.6.1 [unord.set.overview]
            21.5.6.2 [unord.set.cnstr]
            21.5.6.3 [unord.set.erasure]
        21.5.7 [unord.multiset]
            21.5.7.1 [unord.multiset.overview]
            21.5.7.2 [unord.multiset.cnstr]
            21.5.7.3 [unord.multiset.erasure]
    21.6 [container.adaptors]
        21.6.1 [container.adaptors.general]
        21.6.2 [queue.syn]
        21.6.3 [stack.syn]
        21.6.4 [queue]
            21.6.4.1 [queue.defn]
            21.6.4.2 [queue.cons]
            21.6.4.3 [queue.cons.alloc]
            21.6.4.4 [queue.ops]
            21.6.4.5 [queue.special]
        21.6.5 [priority.queue]
            21.6.5.1 [priqueue.overview]
            21.6.5.2 [priqueue.cons]
            21.6.5.3 [priqueue.cons.alloc]
            21.6.5.4 [priqueue.members]
            21.6.5.5 [priqueue.special]
        21.6.6 [stack]
            21.6.6.1 [stack.defn]
            21.6.6.2 [stack.cons]
            21.6.6.3 [stack.cons.alloc]
            21.6.6.4 [stack.ops]
            21.6.6.5 [stack.special]
    21.7 [views]
        21.7.1 [views.general]
        21.7.2 [span.syn]
        21.7.3 [views.span]
            21.7.3.1 [span.overview]
            21.7.3.2 [span.cons]
            21.7.3.3 [span.sub]
            21.7.3.4 [span.obs]
            21.7.3.5 [span.elem]
            21.7.3.6 [span.iterators]
            21.7.3.7 [span.objectrep]
22 [iterators]
    22.1 [iterators.general]
    22.2 [iterator.synopsis]
    22.3 [iterator.requirements]
        22.3.1 [iterator.requirements.general]
        22.3.2 [iterator.assoc.types]
            22.3.2.1 [incrementable.traits]
            22.3.2.2 [readable.traits]
            22.3.2.3 [iterator.traits]
        22.3.3 [iterator.cust]
            22.3.3.1 [iterator.cust.move]
            22.3.3.2 [iterator.cust.swap]
        22.3.4 [iterator.concepts]
            22.3.4.1 [iterator.concepts.general]
            22.3.4.2 [iterator.concept.readable]
            22.3.4.3 [iterator.concept.writable]
            22.3.4.4 [iterator.concept.winc]
            22.3.4.5 [iterator.concept.inc]
            22.3.4.6 [iterator.concept.iterator]
            22.3.4.7 [iterator.concept.sentinel]
            22.3.4.8 [iterator.concept.sizedsentinel]
            22.3.4.9 [iterator.concept.input]
            22.3.4.10 [iterator.concept.output]
            22.3.4.11 [iterator.concept.forward]
            22.3.4.12 [iterator.concept.bidir]
            22.3.4.13 [iterator.concept.random.access]
            22.3.4.14 [iterator.concept.contiguous]
        22.3.5 [iterator.cpp17]
            22.3.5.1 [iterator.iterators]
            22.3.5.2 [input.iterators]
            22.3.5.3 [output.iterators]
            22.3.5.4 [forward.iterators]
            22.3.5.5 [bidirectional.iterators]
            22.3.5.6 [random.access.iterators]
        22.3.6 [indirectcallable]
            22.3.6.1 [indirectcallable.general]
            22.3.6.2 [indirectcallable.indirectinvocable]
            22.3.6.3 [projected]
        22.3.7 [alg.req]
            22.3.7.1 [alg.req.general]
            22.3.7.2 [alg.req.ind.move]
            22.3.7.3 [alg.req.ind.copy]
            22.3.7.4 [alg.req.ind.swap]
            22.3.7.5 [alg.req.ind.cmp]
            22.3.7.6 [alg.req.permutable]
            22.3.7.7 [alg.req.mergeable]
            22.3.7.8 [alg.req.sortable]
    22.4 [iterator.primitives]
        22.4.1 [std.iterator.tags]
        22.4.2 [iterator.operations]
        22.4.3 [range.iter.ops]
            22.4.3.1 [range.iter.op.advance]
            22.4.3.2 [range.iter.op.distance]
            22.4.3.3 [range.iter.op.next]
            22.4.3.4 [range.iter.op.prev]
    22.5 [predef.iterators]
        22.5.1 [reverse.iterators]
            22.5.1.1 [reverse.iterator]
            22.5.1.2 [reverse.iter.requirements]
            22.5.1.3 [reverse.iter.cons]
            22.5.1.4 [reverse.iter.conv]
            22.5.1.5 [reverse.iter.elem]
            22.5.1.6 [reverse.iter.nav]
            22.5.1.7 [reverse.iter.cmp]
            22.5.1.8 [reverse.iter.nonmember]
        22.5.2 [insert.iterators]
            22.5.2.1 [back.insert.iterator]
                22.5.2.1.1 [back.insert.iter.ops]
                22.5.2.1.2 [back.inserter]
            22.5.2.2 [front.insert.iterator]
                22.5.2.2.1 [front.insert.iter.ops]
                22.5.2.2.2 [front.inserter]
            22.5.2.3 [insert.iterator]
                22.5.2.3.1 [insert.iter.ops]
                22.5.2.3.2 [inserter]
        22.5.3 [move.iterators]
            22.5.3.1 [move.iterator]
            22.5.3.2 [move.iter.requirements]
            22.5.3.3 [move.iter.cons]
            22.5.3.4 [move.iter.op.conv]
            22.5.3.5 [move.iter.elem]
            22.5.3.6 [move.iter.nav]
            22.5.3.7 [move.iter.op.comp]
            22.5.3.8 [move.iter.nonmember]
            22.5.3.9 [move.sentinel]
            22.5.3.10 [move.sent.ops]
        22.5.4 [iterators.common]
            22.5.4.1 [common.iterator]
            22.5.4.2 [common.iter.types]
            22.5.4.3 [common.iter.const]
            22.5.4.4 [common.iter.access]
            22.5.4.5 [common.iter.nav]
            22.5.4.6 [common.iter.cmp]
            22.5.4.7 [common.iter.cust]
        22.5.5 [default.sentinels]
        22.5.6 [iterators.counted]
            22.5.6.1 [counted.iterator]
            22.5.6.2 [counted.iter.const]
            22.5.6.3 [counted.iter.access]
            22.5.6.4 [counted.iter.elem]
            22.5.6.5 [counted.iter.nav]
            22.5.6.6 [counted.iter.cmp]
            22.5.6.7 [counted.iter.cust]
        22.5.7 [unreachable.sentinels]
            22.5.7.1 [unreachable.sentinel]
            22.5.7.2 [unreachable.sentinel.cmp]
    22.6 [stream.iterators]
        22.6.1 [istream.iterator]
            22.6.1.1 [istream.iterator.cons]
            22.6.1.2 [istream.iterator.ops]
        22.6.2 [ostream.iterator]
            22.6.2.1 [ostream.iterator.cons.des]
            22.6.2.2 [ostream.iterator.ops]
        22.6.3 [istreambuf.iterator]
            22.6.3.1 [istreambuf.iterator.proxy]
            22.6.3.2 [istreambuf.iterator.cons]
            22.6.3.3 [istreambuf.iterator.ops]
        22.6.4 [ostreambuf.iterator]
            22.6.4.1 [ostreambuf.iter.cons]
            22.6.4.2 [ostreambuf.iter.ops]
    22.7 [iterator.range]
    22.8 [iterator.container]
23 [ranges]
    23.1 [ranges.general]
    23.2 [ranges.syn]
    23.3 [range.access]
        23.3.1 [range.access.begin]
        23.3.2 [range.access.end]
        23.3.3 [range.access.cbegin]
        23.3.4 [range.access.cend]
        23.3.5 [range.access.rbegin]
        23.3.6 [range.access.rend]
        23.3.7 [range.access.crbegin]
        23.3.8 [range.access.crend]
    23.4 [range.prim]
        23.4.1 [range.prim.size]
        23.4.2 [range.prim.empty]
        23.4.3 [range.prim.data]
        23.4.4 [range.prim.cdata]
    23.5 [range.req]
        23.5.1 [range.req.general]
        23.5.2 [range.range]
        23.5.3 [range.sized]
        23.5.4 [range.view]
        23.5.5 [range.refinements]
    23.6 [range.utility]
        23.6.1 [range.utility.helpers]
        23.6.2 [view.interface]
            23.6.2.1 [view.interface.members]
        23.6.3 [range.subrange]
            23.6.3.1 [range.subrange.ctor]
            23.6.3.2 [range.subrange.access]
    23.7 [range.adaptors]
        23.7.1 [range.adaptor.object]
        23.7.2 [range.semi.wrap]
        23.7.3 [range.all]
            23.7.3.1 [range.view.ref]
        23.7.4 [range.filter]
            23.7.4.1 [range.filter.overview]
            23.7.4.2 [range.filter.view]
            23.7.4.3 [range.filter.iterator]
            23.7.4.4 [range.filter.sentinel]
            23.7.4.5 [range.filter.adaptor]
        23.7.5 [range.transform]
            23.7.5.1 [range.transform.overview]
            23.7.5.2 [range.transform.view]
            23.7.5.3 [range.transform.iterator]
            23.7.5.4 [range.transform.sentinel]
            23.7.5.5 [range.transform.adaptor]
        23.7.6 [range.iota]
            23.7.6.1 [range.iota.overview]
            23.7.6.2 [range.iota.view]
            23.7.6.3 [range.iota.iterator]
            23.7.6.4 [range.iota.sentinel]
            23.7.6.5 [range.iota.adaptor]
        23.7.7 [range.take]
            23.7.7.1 [range.take.overview]
            23.7.7.2 [range.take.view]
            23.7.7.3 [range.take.sentinel]
            23.7.7.4 [range.take.adaptor]
        23.7.8 [range.join]
            23.7.8.1 [range.join.overview]
            23.7.8.2 [range.join.view]
            23.7.8.3 [range.join.iterator]
            23.7.8.4 [range.join.sentinel]
            23.7.8.5 [range.join.adaptor]
        23.7.9 [range.empty]
            23.7.9.1 [range.empty.overview]
            23.7.9.2 [range.empty.view]
        23.7.10 [range.single]
            23.7.10.1 [range.single.overview]
            23.7.10.2 [range.single.view]
            23.7.10.3 [range.single.adaptor]
        23.7.11 [range.split]
            23.7.11.1 [range.split.overview]
            23.7.11.2 [range.split.view]
            23.7.11.3 [range.split.outer]
            23.7.11.4 [range.split.outer.value]
            23.7.11.5 [range.split.inner]
            23.7.11.6 [range.split.adaptor]
        23.7.12 [range.counted]
        23.7.13 [range.common]
            23.7.13.1 [range.common.overview]
            23.7.13.2 [range.common.view]
            23.7.13.3 [range.common.adaptor]
        23.7.14 [range.reverse]
            23.7.14.1 [range.reverse.overview]
            23.7.14.2 [range.reverse.view]
            23.7.14.3 [range.reverse.adaptor]
24 [algorithms]
    24.1 [algorithms.general]
    24.2 [algorithms.requirements]
    24.3 [algorithms.parallel]
        24.3.1 [algorithms.parallel.defns]
        24.3.2 [algorithms.parallel.user]
        24.3.3 [algorithms.parallel.exec]
        24.3.4 [algorithms.parallel.exceptions]
        24.3.5 [algorithms.parallel.overloads]
    24.4 [algorithm.syn]
    24.5 [alg.nonmodifying]
        24.5.1 [alg.all_of]
        24.5.2 [alg.any_of]
        24.5.3 [alg.none_of]
        24.5.4 [alg.foreach]
        24.5.5 [alg.find]
        24.5.6 [alg.find.end]
        24.5.7 [alg.find.first.of]
        24.5.8 [alg.adjacent.find]
        24.5.9 [alg.count]
        24.5.10 [mismatch]
        24.5.11 [alg.equal]
        24.5.12 [alg.is_permutation]
        24.5.13 [alg.search]
    24.6 [alg.modifying.operations]
        24.6.1 [alg.copy]
        24.6.2 [alg.move]
        24.6.3 [alg.swap]
        24.6.4 [alg.transform]
        24.6.5 [alg.replace]
        24.6.6 [alg.fill]
        24.6.7 [alg.generate]
        24.6.8 [alg.remove]
        24.6.9 [alg.unique]
        24.6.10 [alg.reverse]
        24.6.11 [alg.rotate]
        24.6.12 [alg.random.sample]
        24.6.13 [alg.random.shuffle]
        24.6.14 [alg.shift]
    24.7 [alg.sorting]
        24.7.1 [alg.sort]
            24.7.1.1 [sort]
            24.7.1.2 [stable.sort]
            24.7.1.3 [partial.sort]
            24.7.1.4 [partial.sort.copy]
            24.7.1.5 [is.sorted]
        24.7.2 [alg.nth.element]
        24.7.3 [alg.binary.search]
            24.7.3.1 [lower.bound]
            24.7.3.2 [upper.bound]
            24.7.3.3 [equal.range]
            24.7.3.4 [binary.search]
        24.7.4 [alg.partitions]
        24.7.5 [alg.merge]
        24.7.6 [alg.set.operations]
            24.7.6.1 [includes]
            24.7.6.2 [set.union]
            24.7.6.3 [set.intersection]
            24.7.6.4 [set.difference]
            24.7.6.5 [set.symmetric.difference]
        24.7.7 [alg.heap.operations]
            24.7.7.1 [push.heap]
            24.7.7.2 [pop.heap]
            24.7.7.3 [make.heap]
            24.7.7.4 [sort.heap]
            24.7.7.5 [is.heap]
        24.7.8 [alg.min.max]
        24.7.9 [alg.clamp]
        24.7.10 [alg.lex.comparison]
        24.7.11 [alg.3way]
        24.7.12 [alg.permutation.generators]
    24.8 [numeric.ops.overview]
    24.9 [numeric.ops]
        24.9.1 [numerics.defns]
        24.9.2 [accumulate]
        24.9.3 [reduce]
        24.9.4 [inner.product]
        24.9.5 [transform.reduce]
        24.9.6 [partial.sum]
        24.9.7 [exclusive.scan]
        24.9.8 [inclusive.scan]
        24.9.9 [transform.exclusive.scan]
        24.9.10 [transform.inclusive.scan]
        24.9.11 [adjacent.difference]
        24.9.12 [numeric.iota]
        24.9.13 [numeric.ops.gcd]
        24.9.14 [numeric.ops.lcm]
    24.10 [alg.c.library]
25 [numerics]
    25.1 [numerics.general]
    25.2 [numeric.requirements]
    25.3 [cfenv]
        25.3.1 [cfenv.syn]
    25.4 [complex.numbers]
        25.4.1 [complex.syn]
        25.4.2 [complex]
        25.4.3 [complex.special]
        25.4.4 [complex.members]
        25.4.5 [complex.member.ops]
        25.4.6 [complex.ops]
        25.4.7 [complex.value.ops]
        25.4.8 [complex.transcendentals]
        25.4.9 [cmplx.over]
        25.4.10 [complex.literals]
    25.5 [bit]
        25.5.1 [bit.general]
        25.5.2 [bit.syn]
        25.5.3 [bit.cast]
        25.5.4 [bit.pow.two]
    25.6 [rand]
        25.6.1 [rand.synopsis]
        25.6.2 [rand.req]
            25.6.2.1 [rand.req.genl]
            25.6.2.2 [rand.req.seedseq]
            25.6.2.3 [rand.req.urng]
            25.6.2.4 [rand.req.eng]
            25.6.2.5 [rand.req.adapt]
            25.6.2.6 [rand.req.dist]
        25.6.3 [rand.eng]
            25.6.3.1 [rand.eng.lcong]
            25.6.3.2 [rand.eng.mers]
            25.6.3.3 [rand.eng.sub]
        25.6.4 [rand.adapt]
            25.6.4.1 [rand.adapt.general]
            25.6.4.2 [rand.adapt.disc]
            25.6.4.3 [rand.adapt.ibits]
            25.6.4.4 [rand.adapt.shuf]
        25.6.5 [rand.predef]
        25.6.6 [rand.device]
        25.6.7 [rand.util]
            25.6.7.1 [rand.util.seedseq]
            25.6.7.2 [rand.util.canonical]
        25.6.8 [rand.dist]
            25.6.8.1 [rand.dist.general]
            25.6.8.2 [rand.dist.uni]
                25.6.8.2.1 [rand.dist.uni.int]
                25.6.8.2.2 [rand.dist.uni.real]
            25.6.8.3 [rand.dist.bern]
                25.6.8.3.1 [rand.dist.bern.bernoulli]
                25.6.8.3.2 [rand.dist.bern.bin]
                25.6.8.3.3 [rand.dist.bern.geo]
                25.6.8.3.4 [rand.dist.bern.negbin]
            25.6.8.4 [rand.dist.pois]
                25.6.8.4.1 [rand.dist.pois.poisson]
                25.6.8.4.2 [rand.dist.pois.exp]
                25.6.8.4.3 [rand.dist.pois.gamma]
                25.6.8.4.4 [rand.dist.pois.weibull]
                25.6.8.4.5 [rand.dist.pois.extreme]
            25.6.8.5 [rand.dist.norm]
                25.6.8.5.1 [rand.dist.norm.normal]
                25.6.8.5.2 [rand.dist.norm.lognormal]
                25.6.8.5.3 [rand.dist.norm.chisq]
                25.6.8.5.4 [rand.dist.norm.cauchy]
                25.6.8.5.5 [rand.dist.norm.f]
                25.6.8.5.6 [rand.dist.norm.t]
            25.6.8.6 [rand.dist.samp]
                25.6.8.6.1 [rand.dist.samp.discrete]
                25.6.8.6.2 [rand.dist.samp.pconst]
                25.6.8.6.3 [rand.dist.samp.plinear]
        25.6.9 [c.math.rand]
    25.7 [numarray]
        25.7.1 [valarray.syn]
        25.7.2 [template.valarray]
            25.7.2.1 [template.valarray.overview]
            25.7.2.2 [valarray.cons]
            25.7.2.3 [valarray.assign]
            25.7.2.4 [valarray.access]
            25.7.2.5 [valarray.sub]
            25.7.2.6 [valarray.unary]
            25.7.2.7 [valarray.cassign]
            25.7.2.8 [valarray.members]
        25.7.3 [valarray.nonmembers]
            25.7.3.1 [valarray.binary]
            25.7.3.2 [valarray.comparison]
            25.7.3.3 [valarray.transcend]
            25.7.3.4 [valarray.special]
        25.7.4 [class.slice]
            25.7.4.1 [class.slice.overview]
            25.7.4.2 [cons.slice]
            25.7.4.3 [slice.access]
        25.7.5 [template.slice.array]
            25.7.5.1 [template.slice.array.overview]
            25.7.5.2 [slice.arr.assign]
            25.7.5.3 [slice.arr.comp.assign]
            25.7.5.4 [slice.arr.fill]
        25.7.6 [class.gslice]
            25.7.6.1 [class.gslice.overview]
            25.7.6.2 [gslice.cons]
            25.7.6.3 [gslice.access]
        25.7.7 [template.gslice.array]
            25.7.7.1 [template.gslice.array.overview]
            25.7.7.2 [gslice.array.assign]
            25.7.7.3 [gslice.array.comp.assign]
            25.7.7.4 [gslice.array.fill]
        25.7.8 [template.mask.array]
            25.7.8.1 [template.mask.array.overview]
            25.7.8.2 [mask.array.assign]
            25.7.8.3 [mask.array.comp.assign]
            25.7.8.4 [mask.array.fill]
        25.7.9 [template.indirect.array]
            25.7.9.1 [template.indirect.array.overview]
            25.7.9.2 [indirect.array.assign]
            25.7.9.3 [indirect.array.comp.assign]
            25.7.9.4 [indirect.array.fill]
        25.7.10 [valarray.range]
    25.8 [c.math]
        25.8.1 [cmath.syn]
        25.8.2 [c.math.abs]
        25.8.3 [c.math.hypot3]
        25.8.4 [c.math.fpclass]
        25.8.5 [sf.cmath]
            25.8.5.1 [sf.cmath.assoc_laguerre]
            25.8.5.2 [sf.cmath.assoc_legendre]
            25.8.5.3 [sf.cmath.beta]
            25.8.5.4 [sf.cmath.comp_ellint_1]
